epoch, batch, loss, loss_bader, loss_e, bader_mae, bader_rmse, e_mae, e_rmse
    1,     1,           8.0002,                8,       0.00022667,                8,            8.489,           10.401,           13.331
    1,     2,           8.5698,           8.5694,       0.00030611,           8.5694,           9.7282,           26.503,           30.271
    1,     3,           6.4607,           6.4605,       0.00020218,           6.4605,           7.1855,           22.951,           43.045
    1,     4,           7.5571,            7.557,       8.5167e-05,            7.557,           8.4847,           16.172,           18.287
    1,     5,           9.5923,           9.5921,        0.0001663,           9.5921,           10.183,           14.082,           16.482
    1,     6,           4.9714,            4.971,       0.00034481,            4.971,           6.5164,           30.291,           33.229
    1,     7,           9.1087,           9.1084,       0.00026651,           9.1084,           9.5463,           12.885,           17.158
    1,     8,           5.3653,           5.3652,       0.00012081,           5.3652,           6.8337,           22.335,           26.661
    1,     9,           6.6805,           6.6803,       0.00017271,           6.6803,           7.6039,            36.06,            49.27
    1,    10,           7.8393,           7.8391,        0.0001992,           7.8391,            8.602,           83.719,           113.17
    1,    11,            9.183,           9.1828,       0.00021341,           9.1828,            10.43,           32.909,           40.368
    1,    12,           9.2925,           9.2923,       0.00022001,           9.2923,             9.91,           14.845,           20.901
    1,    13,            6.824,           6.8235,       0.00047581,           6.8235,           7.8529,           41.899,           54.019
    1,    14,           8.4331,           8.4328,       0.00028352,           8.4328,            8.945,           48.939,           56.801
    1,    15,           8.0163,           8.0161,       0.00014089,           8.0161,           9.0963,           11.601,           20.255
    1,    16,           6.8908,           6.8908,       6.5781e-05,           6.8908,           7.6483,           17.628,           24.532
    1,    17,           9.7145,           9.7143,       0.00020527,           9.7143,           10.331,           33.202,           47.474
    1,    18,           6.5399,           6.5397,        0.0001925,           6.5397,           7.8568,            34.37,           37.569
    1,    19,           4.9282,           4.9278,        0.0003266,           4.9278,           6.5669,           16.436,           20.248
    1,    20,           8.4929,           8.4928,       0.00014454,           8.4928,           9.4539,           15.779,           19.772
    1,    21,           6.8535,           6.8533,       0.00015677,           6.8533,           7.5891,           36.576,           41.475
    1,    22,           8.7445,           8.7444,       9.8304e-05,           8.7444,           9.2784,           21.928,           30.222
    1,    23,           7.2437,           7.2435,       0.00019784,           7.2435,           8.1517,           18.987,           20.599
    1,    24,            4.394,           4.3939,       5.5003e-05,           4.3939,           6.6597,           31.953,            46.57
    1,    25,           7.3336,           7.3333,       0.00027998,           7.3333,           7.9514,           34.816,            42.85
    1,    26,           5.0249,           5.0247,       0.00016304,           5.0247,           6.8104,           23.428,             28.1
    1,    27,           8.3602,             8.36,       0.00022923,             8.36,           9.5203,           13.567,           15.731
    1,    28,           6.2528,           6.2525,       0.00027752,           6.2525,           7.1536,           34.888,           49.035
    1,    29,           8.6419,           8.6418,       7.7135e-05,           8.6418,            9.442,           10.449,           12.724
    1,    30,           8.3638,           8.3636,       0.00020052,           8.3636,           8.5731,           26.394,           35.306
    1,    31,           7.1004,              7.1,       0.00044587,              7.1,           8.3753,           12.811,           15.355
    1,    32,           7.0347,           7.0345,       0.00022732,           7.0345,           7.3254,           33.336,           43.439
    1,    33,           7.3839,           7.3838,       3.7441e-05,           7.3838,            7.813,           27.236,           42.963
    1,    34,            7.589,           7.5889,       0.00010368,           7.5889,           7.9477,           22.557,            28.37
    1,    35,           7.0647,           7.0645,       0.00013879,           7.0645,           8.6339,            15.68,            19.66
    1,    36,           7.6302,           7.6301,       3.6735e-05,           7.6301,           8.1137,           8.6119,           14.763
    1,    37,           9.5897,           9.5893,       0.00039832,           9.5893,           10.983,           23.718,           27.227
    1,    38,           7.4899,           7.4898,        0.0001119,           7.4898,           8.1005,           21.401,           24.068
    1,    39,           5.9231,           5.9225,       0.00060049,           5.9225,           6.8255,           30.049,           36.387
    1,    40,           8.7245,           8.7241,       0.00035563,           8.7241,           9.6787,           9.6743,           12.418
    1,    41,           8.4338,           8.4337,        9.117e-05,           8.4337,           9.1285,           10.867,           14.748
    1,    42,           8.9075,           8.9074,       0.00013215,           8.9074,           9.9926,           10.122,           15.158
    1,    43,           7.3126,           7.3125,       0.00011373,           7.3125,           7.7195,           22.657,           33.368
    1,    44,           8.4448,           8.4444,       0.00035668,           8.4444,           9.5917,           15.562,           18.268
    1,    45,           8.0506,           8.0504,       0.00015812,           8.0504,           8.7955,           35.256,           53.974
    1,    46,           7.5375,           7.5373,       0.00019499,           7.5373,           7.7949,           18.742,           19.519
    1,    47,           7.4873,           7.4872,       0.00018171,           7.4872,           7.7744,           13.945,           20.524
    1,    48,           9.4771,           9.4769,       0.00016868,           9.4769,           10.027,           18.601,           26.403
    1,    49,           7.5684,           7.5682,       0.00021094,           7.5682,           8.3166,           23.413,           31.389
    1,    50,           7.5146,           7.5145,       8.8876e-05,           7.5145,           9.5083,           23.592,           33.479
    1,    51,           7.2475,           7.2473,       0.00015845,           7.2473,           7.6916,           26.552,            37.28
    1,    52,           9.9785,           9.9783,       0.00020608,           9.9783,           10.614,           23.502,           27.733
    1,    53,           6.6667,           6.6666,       5.3036e-05,           6.6666,           7.3154,           7.4504,           8.7124
    1,    54,           12.354,           12.353,       0.00014915,           12.353,           12.833,           36.653,           60.737
    1,    55,           6.2014,           6.2013,       9.7264e-05,           6.2013,           6.8344,           25.924,           35.919
    1,    56,           7.2426,           7.2424,       0.00020862,           7.2424,           7.7682,           26.658,           40.904
    1,    57,           8.4104,           8.4102,       0.00016281,           8.4102,           8.7823,           32.839,           66.154
    1,    58,           7.7191,           7.7187,       0.00036979,           7.7187,           8.2494,           18.669,            21.29
    1,    59,           8.5439,           8.5435,       0.00046966,           8.5435,           9.4242,           25.851,           31.602
    1,    60,           6.4738,           6.4736,       0.00012806,           6.4736,           7.3702,           32.486,           54.672
    1,    61,           7.4156,           7.4155,       0.00010157,           7.4155,           8.3742,           7.5837,           10.062
    1,    62,           8.1801,           8.1795,       0.00065288,           8.1795,           8.3757,           25.214,           30.911
    1,    63,           7.6577,           7.6571,       0.00052808,           7.6571,           9.9317,           22.124,           27.972
    1,    64,           8.8129,           8.8124,       0.00042456,           8.8124,           9.1237,           37.343,            64.31
    1,    65,           7.5238,           7.5232,       0.00053699,           7.5232,            7.657,           32.616,           54.612
    1,    66,            8.178,           8.1778,       0.00023616,           8.1778,           8.8458,           13.043,           13.527
    1,    67,           7.9648,           7.9643,       0.00050455,           7.9643,           8.6345,            45.38,           59.196
    1,    68,           11.955,           11.955,       0.00045723,           11.955,           12.281,           57.809,           86.228
    1,    69,           7.8513,            7.851,       0.00030839,            7.851,           9.0691,           18.884,            23.46
    1,    70,           9.3754,            9.375,       0.00039433,            9.375,           10.211,           7.9009,           8.9461
    1,    71,           5.8398,           5.8396,       0.00024308,           5.8396,           7.4005,           17.164,           20.502
    1,    72,           7.3253,            7.325,       0.00032543,            7.325,           7.6168,           31.546,           43.158
    1,    73,           8.5223,           8.5221,       0.00017281,           8.5221,           8.8093,           25.781,            31.79
    1,    74,           7.4352,           7.4351,       8.1775e-05,           7.4351,           7.9796,           7.7965,           8.3941
    1,    75,           5.2133,           5.2129,       0.00031237,           5.2129,           6.7762,           31.183,           39.592
    1,    76,           6.6701,             6.67,       8.4657e-05,             6.67,           7.4814,           38.593,            43.78
    1,    77,           7.2712,           7.2711,       7.3638e-05,           7.2711,            7.832,           25.809,           38.774
    1,    78,           8.7226,           8.7222,       0.00034592,           8.7222,           9.0544,           21.118,           27.821
    1,    79,           8.5526,           8.5522,       0.00037882,           8.5522,           8.9976,           69.964,           82.351
    1,    80,           6.3023,           6.3022,       0.00010353,           6.3022,           7.0002,           36.738,           46.392
    1,    81,           6.9362,           6.9361,       6.6256e-05,           6.9361,           7.8008,           4.0261,           4.7679
    1,    82,           6.5647,           6.5646,       0.00011792,           6.5646,           7.5802,           35.652,           44.012
    1,    83,            9.091,           9.0908,       0.00022477,           9.0908,           10.065,           24.707,           26.739
    1,    84,           7.8403,           7.8402,       0.00011416,           7.8402,           8.2207,           15.534,           23.073
    1,    85,           7.1863,            7.186,       0.00031742,            7.186,           8.8113,           20.902,           24.605
    1,    86,           7.4083,           7.4081,        0.0001916,           7.4081,           8.3244,            21.92,           28.464
    1,    87,           7.1135,           7.1134,       8.4459e-05,           7.1134,           7.8229,           19.846,           26.302
    1,    88,           6.8225,           6.8223,       0.00016552,           6.8223,           7.5825,           70.368,            83.68
    1,    89,           8.2942,            8.294,       0.00019134,            8.294,           9.2824,           13.106,           17.536
    1,    90,           6.4514,           6.4511,       0.00021439,           6.4511,           7.3288,           36.244,           49.009
    1,    91,           7.9897,           7.9894,       0.00020836,           7.9894,           8.9342,           27.499,           35.535
    1,    92,            6.617,           6.6169,       9.5883e-05,           6.6169,           7.0947,           17.981,           23.338
    1,    93,           8.0867,           8.0864,       0.00031796,           8.0864,           8.5659,           24.747,           32.833
    1,    94,           7.5182,           7.5182,       5.2012e-05,           7.5182,           8.5242,           12.681,           22.384
    1,    95,           7.3909,           7.3905,       0.00044176,           7.3905,            8.059,           25.105,           30.519
    1,    96,           5.2604,           5.2602,       0.00016173,           5.2602,            6.224,           41.673,           51.131
    1,    97,           11.109,           11.109,       0.00060946,           11.109,           11.612,           24.736,           36.493
    1,    98,           11.378,           11.378,       0.00021877,           11.378,            11.94,           18.576,           25.054
    1,    99,           6.8631,           6.8629,       0.00018158,           6.8629,           7.4283,            17.39,           25.742
    1,   100,            6.132,           6.1319,       6.1589e-05,           6.1319,             6.86,           15.737,           21.088
    1,   101,           7.0569,           7.0566,       0.00020805,           7.0566,           7.8875,           23.736,           36.347
    1,   102,           8.1745,           8.1744,       9.2147e-05,           8.1744,           9.0441,           15.682,           19.775
    1,   103,           8.1668,           8.1667,       0.00014603,           8.1667,            8.429,           55.197,           71.818
    1,   104,           5.5348,           5.5346,       0.00014997,           5.5346,           6.8163,           16.929,           19.474
    1,   105,           7.1399,           7.1399,       5.7435e-05,           7.1399,           7.6564,           19.852,           23.384
    1,   106,           8.6944,           8.6935,        0.0008825,           8.6935,           9.2114,           7.5156,           7.9616
    1,   107,           8.7668,           8.7665,       0.00031724,           8.7665,            9.373,           26.979,           33.929
    1,   108,           6.5229,           6.5225,       0.00039769,           6.5225,           7.5096,           21.806,           25.825
    1,   109,           10.253,           10.252,       0.00033079,           10.252,           11.387,           12.523,            15.89
