epoch, wall, LR,training_loss_bader,training_loss_e,training_loss,training_bader_mae,training_bader_rmse,training_e_mae,training_e_rmse,validation_loss_bader,validation_loss_e,validation_loss,validation_bader_mae,validation_bader_rmse,validation_e_mae,validation_e_rmse
         1,    7.777,    0.001,           7.7215,       0.00022909,           7.7217,         7.48,         8.42,         24.8,         37.9,           7.4492,       0.00028276,           7.4495,          6.8,         7.92,         22.5,           34
         2,   12.889,    0.001,           7.5033,        0.0016484,           7.5049,         7.12,         8.14,         57.3,          161,           6.4588,         0.035835,           6.4946,         5.74,         7.37,          153,          294
         3,   17.981,    0.001,            6.748,         0.010709,           6.7588,         6.31,         7.56,          204,          416,           6.0172,         0.014502,           6.0317,         5.32,         6.75,          240,          449
         4,   22.954,    0.001,           5.9536,        0.0081132,           5.9617,         5.59,          6.8,          196,          371,           5.3928,        0.0052915,           5.3981,         4.72,         6.17,          154,          278
         5,   27.947,    0.001,           5.0189,        0.0033377,           5.0223,         4.72,          5.9,          132,          233,            4.672,        0.0053406,           4.6773,         4.07,         5.65,         70.8,          112
         6,   32.984,    0.001,            4.002,        0.0052986,           4.0073,         3.87,         5.14,          137,          270,           4.3696,         0.011257,           4.3808,         3.93,          6.1,          118,          228
         7,   38.095,    0.001,            3.333,        0.0086891,           3.3417,         3.15,         4.52,          171,          364,           4.3227,         0.013498,           4.3362,         3.96,         7.63,          136,          282
         8,   43.137,    0.001,           2.8367,        0.0070924,           2.8438,         2.69,         4.02,          170,          337,           3.6399,         0.010551,           3.6505,         3.43,         6.44,          129,          208
         9,   48.255,    0.001,           2.2903,        0.0079923,           2.2983,         2.13,          3.2,          186,          344,           2.8027,        0.0079185,           2.8106,         2.67,         4.91,          158,          269
        10,   53.296,    0.001,           1.8254,        0.0080235,           1.8334,         1.68,         2.66,          177,          323,           2.1742,         0.007441,           2.1817,         2.09,         3.32,          148,          244
        11,   58.361,    0.001,           1.4819,        0.0075793,           1.4895,         1.41,         2.38,          172,          304,           1.7954,        0.0068143,           1.8022,          1.7,         2.76,          121,          190
        12,   63.431,    0.001,           1.2927,        0.0063385,            1.299,         1.22,         2.17,          148,          252,           1.5493,        0.0081888,           1.5575,         1.47,         2.44,          154,          254
        13,   68.490,    0.001,           1.2651,        0.0062954,           1.2714,         1.17,         2.11,          151,          241,           1.5033,        0.0046926,            1.508,         1.43,         2.34,          103,          149
        14,   73.549,    0.001,           1.1423,        0.0058504,           1.1482,         1.05,         2.12,          135,          231,           1.3781,        0.0062109,           1.3843,          1.3,         2.24,          123,          178
        15,   78.597,    0.001,           1.0417,        0.0048565,           1.0465,        0.976,         1.86,          128,          209,           1.3144,        0.0053838,           1.3198,         1.25,         2.19,          122,          184
        16,   83.612,    0.001,          0.98074,        0.0046001,          0.98534,        0.926,          1.8,          122,          210,           1.1962,        0.0037428,              1.2,         1.14,         2.04,         98.5,          153
        17,   88.632,    0.001,          0.89968,        0.0036978,          0.90338,        0.838,         1.64,          117,          193,           1.1382,        0.0035588,           1.1418,         1.09,         1.97,         97.6,          154
        18,   93.701,    0.001,          0.87537,        0.0034779,          0.87885,        0.808,         1.58,          113,          196,           1.1069,        0.0029251,           1.1098,         1.07,         1.92,         82.4,          138
